m_mtrlalu;mtrakhir;blokno
0;0;A /001
1827;1839;A /001
605;701;A /001
1407;1489;A /001
47;61;A /001
1128;1128;A /001
181;186;A /002
1469;1556;A /002
349;364;A /002
26;43;A /002
753;753;A /003
759;772;A /003
757;779;A /003
17;24;A /003
179;285;A /004
277;277;A /005
409;418;A /005
377;379;A /005
18;18;A /006
150;150;A /006
506;506;A /006
190;194;A /007
38;47;A /007
17;18;A /007
170;173;A /008
1555;1569;A /008
39;41;A /008
1126;1128;A /009
1424;1449;A /009
26;26;A /009
670;670;A /010
125;125;A /010
19;20;A /010
949;979;A /011
205;212;A /011
5;5;A /011
0;0;A /012
192;193;A /012
542;542;A /012
0;0;A /014
120;120;A /014
435;437;A /014
174;179;A /015
1021;1024;A /015
264;267;A /015
244;244;A /016
828;828;A /016
445;445;A /017
2520;2547;A /017
332;339;A /018
3126;3201;A /018
482;499;A /018
400;400;A /019
74;74;A /020
161;165;A /021
492;513;A /022
4997;5116;A 01/001
20817;20934;A 01/001
0;0;A 01/001
0;0;A 01/001
0;0;A 01/001
243;251;A 01/002
3343;3373;A 01/002
0;0;A 01/002
0;0;A 01/002
292;295;A 01/003
0;0;A 01/003
0;0;A 01/003
0;0;A 01/003
500;540;A 01/003A
0;0;A 01/003A
1091;1202;A 01/005
264;274;A 01/005
0;0;A 01/005
0;0;A 01/005
2173;2173;A 01/006
436;442;A 01/006
0;0;A 01/006
0;0;A 01/006
782;787;A 01/007
0;0;A 01/007
0;0;A 01/007
0;0;A 01/007
0;0;A 01/007
1503;1518;A 01/007A
629;629;A 01/008
373;547;A 01/008
0;0;A 01/008
0;0;A 01/008
0;0;A 01/008
842;842;A 01/009
109;111;A 01/009
0;0;A 01/009
0;0;A 01/009
0;0;A 01/009
291;294;A 01/010
775;783;A 01/010
0;0;A 01/010
0;0;A 01/010
202;205;A 01/011
0;0;A 01/011
0;0;A 01/011
0;0;A 01/011
0;0;A 01/011
930;967;A 01/012
642;642;A 01/012
0;0;A 01/012
0;0;A 01/012
0;0;A 01/012A
165;184;A 01/014
0;0;A 01/014
0;0;A 01/014
0;0;A 01/014
8485;8650;A 01/015
219;219;A 01/015
1580;1580;A 01/015
188;189;A 01/015
0;0;A 01/015
0;0;A 01/015A
118;145;A 01/016
4745;4949;A 01/016
278;300;A 01/016
0;0;A 01/016
734;756;A 01/016A
2242;2298;A 01/017
549;549;A 01/017
0;0;A 01/017
0;0;A 01/017
3765;3850;A 01/017A
407;423;A 01/018
3014;3034;A 01/018
0;0;A 01/018
0;0;A 01/018
144;159;A 01/019
481;481;A 01/019
0;0;A 01/019
231;245;A 01/020
0;0;A 01/020
0;0;A 01/020
1135;1159;A 01/021
1910;1958;A 01/021
34;35;A 01/021A
417;424;A 01/022
20;20;A 01/023
516;516;A 01/024
548;632;A 01/024
0;0;A 01/025
0;0;A 01/025
1345;1372;A 01/026
0;0;A 01/026
1130;1160;A 01/027
0;0;A 01/027
1236;1236;A 01/028
0;0;A 01/028
1482;1512;A 01/029
1053;1121;A 01/029
0;0;A 01/029A
1343;1415;A 01/030
650;686;A 01/030
0;0;A 01/031
0;0;A 01/031
332;332;A 01/032
0;0;A 01/032
0;0;A 01/033
510;527;A 01/034
774;790;A 01/035
0;0;A 01/035
915;930;A 01/036
0;0;A 01/036
1375;1395;A 01/037
456;465;A 01/038
0;0;A 01/038
0;0;A 01/039
0;0;A 01/039
0;0;A 01/040
0;0;A 01/040
375;388;A 01/041
4248;0;A 01/041
1648;1671;A 01/042
0;0;A 01/042
346;356;A 01/043
0;0;A 01/043
5218;5691;A 01/044
707;748;A 01/044
956;956;A 01/045
0;0;A 01/045
262;262;A 01/046
0;0;A 01/046
0;0;A 01/047
0;0;A 01/047
465;485;A 01/048
0;0;A 01/048
588;639;A 01/049
0;0;A 01/049
139;139;A 01/050
0;0;A 01/050
989;1017;A 01/051
0;0;A 01/051
782;799;A 01/052
0;0;A 01/052
406;406;A 01/053
0;0;A 01/053
351;366;A 01/054
0;0;A 01/054
104;104;A 01/055
0;0;A 01/055
1460;1460;A 01/055A
867;893;A 01/056
0;0;A 01/056A
0;0;A 01/057
865;890;A 01/057A
968;991;A 01/057B
2762;2792;A 01/058
0;0;A 01/059
379;379;A 01/060
421;452;A 01/060A
237;249;A 01/060B
0;0;A 01/061
1031;1046;A 01/061B
0;0;A 01/062
0;0;A 01/063
0;0;A 01/064
944;952;A 02/001
1055;1080;A 02/001
0;0;A 02/001
0;0;A 02/001A
9074;9213;A 02/002
2051;2092;A 02/002
295;311;A 02/002
828;845;A 02/003
390;434;A 02/003
0;0;A 02/003
0;0;A 02/003A
99;99;A 02/005
129;151;A 02/005
1001;1083;A 02/005
1284;1302;A 02/006
555;555;A 02/006
0;0;A 02/006
3415;3415;A 02/007
225;227;A 02/007
0;0;A 02/007
132;140;A 02/008
0;0;A 02/008
0;0;A 02/008
0;0;A 02/008
381;383;A 02/009
0;0;A 02/009
0;0;A 02/009
0;0;A 02/009A
3063;3063;A 02/010
886;886;A 02/010
219;240;A 02/010
0;0;A 02/010
151;161;A 02/010A
880;915;A 02/011
48;56;A 02/011
3423;3433;A 02/011
0;0;A 02/011
708;722;A 02/011A
2796;2813;A 02/012
735;801;A 02/012
0;0;A 02/012
0;0;A 02/012
0;0;A 02/012A
429;444;A 02/014
0;0;A 02/014
0;0;A 02/014
523;535;A 02/015
1412;1417;A 02/015
0;0;A 02/015
0;0;A 02/015
257;273;A 02/016
1463;1496;A 02/016
0;0;A 02/016
0;0;A 02/016
95;106;A 02/017
1163;1163;A 02/017
1167;1198;A 02/017
0;0;A 02/017
1002;1014;A 02/018
495;562;A 02/018
0;0;A 02/018
0;0;A 02/018
38;39;A 02/018A
647;648;A 02/018B
1684;1701;A 02/019
0;0;A 02/019
0;0;A 02/019
0;0;A 02/019
664;694;A 02/020
0;0;A 02/020
0;0;A 02/020
179;192;A 02/020A
791;816;A 02/020B
1106;1121;A 02/021
490;533;A 02/021
0;0;A 02/021
130;145;A 02/022
1323;1348;A 02/022
2096;2108;A 02/022
1739;1772;A 02/023
1189;1209;A 02/023
0;0;A 02/023
2846;2911;A 02/024
0;0;A 02/024
0;0;A 02/024
205;240;A 02/025
0;0;A 02/025
213;219;A 02/026
856;871;A 02/026
0;0;A 02/026
658;670;A 02/027
1735;1775;A 02/027
902;904;A 02/027
137;146;A 02/028
757;775;A 02/028
411;419;A 02/029
426;465;A 02/029
1048;1052;A 02/030
503;536;A 02/030
0;0;A 02/030
1245;1245;A 02/031
0;0;A 02/031
0;0;A 02/031
756;771;A 02/031A
762;771;A 02/032
591;604;A 02/032
0;0;A 02/032
980;1002;A 02/033
444;471;A 02/033
1449;1467;A 02/034
