m_mtrlalu;mtrakhir;blokno
979;1019;OW03/010
51;91;BV02/019
3;3;FG04/009
381;403;CM16/003
20;20;CM17/023
751;781;CM12/009A
176;191;CM17/012
103;103;CM16/012
282;300;CM17/015
124;143;CM17/016
496;513;CM17/029
1144;1185;CM15/038
495;537;K 08/015
248;261;K 07/009
138;138;K 10/002
767;767;K 08/025
359;362;K 08/026
571;607;K 07/002
447;486;D 02/030
139;153;D 01/037A
380;457;D 01/037
342;349;RW02/017
412;444;K 07/010
992;1006;H 08/073
856;897;ST07/006
530;561;GG05/018
69;76;EW02/070
198;221;EW03/003
255;279;EW03/005
102;132;WP18/006
930;946;EW01/031
112;121;ST07/003
556;565;D 02/036
284;301;EW03/009
151;161;A 02/010A
99;99;A 02/005
456;492;TL05/008
343;371;TL05/025
60;72;H 12/007
881;889;K 06/008
1043;1055;K 02/069
865;890;A 01/057A
1419;1419;K 02/072
232;247;B 02/067
55;77;D 01/035
1409;1442;K 06/007
741;763;K 06/002
221;221;H 11/052
111;111;RG01/012
1044;1059;K 02/080
433;443;RG01/019
255;276;K 02/060
1009;1031;K 06/033
1338;1369;K 06/006
306;321;H 12/017
1097;1097;RW02/023
575;576;H 12/005
2;2;H 12/008
1746;1746;RG01/016
2396;2442;K 06/035
230;230;K 02/071
250;267;K 06/026
244;245;RG01/007
0;0;A /001
45;45;FJ /0F1
3557;3571;FJ /0E1
2996;3034;B 01/030
746;770;TK08/008
458;464;AA01/045
1106;1121;A 02/021
1347;1375;D 06/039
957;971;K 04/029
379;409;E 03/017
1370;1399;K 01/050
292;301;E 02/053
1571;1606;K 04/028
191;194;K 03/014
1630;1709;FG /002
4816;4835;FG /003
494;505;TB05/025
456;472;AA01/023A
180;193;C 08/011
944;976;B 11/015
385;7;C 07/009
306;311;C 07/006
1012;1027;C 07/007
779;787;TF03/005
704;720;TF03/003
2616;2667;WL09/009
1010;1030;K 04/010
0;0;C 06/020
0;0;C 07/016
1250;1281;F 01/014
760;760;F 01/001
261;261;C 06/012
888;917;A 02/045
196;211;C 06/027
923;930;F 05/017
1034;1034;F 05/016
127;141;C 02/054
794;809;C 03/012
170;170;B 04/012
993;1001;B 11/009
321;348;B 05/001
104;116;F 02/079
3251;3309;F 01/009
1739;1772;A 02/023
1979;2000;F 06/058
837;869;C 02/002
1068;1091;D 02/005
578;617;F 03/008
9;16;F 03/027
190;208;F 03/006
1739;1768;F 03/007
850;850;E 03/015
299;319;F 05/003
593;611;F 01/011
433;436;C 04/003
5437;5475;C 03/017
1255;1294;TL04/042
1274;1307;B 10/011
1351;1386;C 04/011
898;917;B 11/016
277;277;A /005
574;611;TJ06/001
616;631;TJ02/002
247;254;TL02/058
818;818;A 06/019
243;259;A 06/018
793;842;H 12/011
387;394;L /003
239;239;C 06/032
220;220;AA02/038
1020;1041;TB11/017
2292;2347;PS02/039M
0;0;B 07/028
950;969;C 03/009
265;304;C 01/052
925;931;C 07/003
260;274;C 07/023
1172;1192;C 08/005
338;338;F 01/008
38;40;F 02/003
1031;1057;F 05/008
334;339;C 03/030
346;356;A 01/043
903;917;AA01/040
796;811;C 08/015
1251;1283;K 05/008
330;346;I 02/012
1615;1640;I 05/001
373;388;K 05/015A
867;879;K 04/015
1585;1620;K 08/017
210;221;TK06/007
20;21;TK08/002
906;922;TK07/009
354;389;TK07/021
611;627;TK07/016
515;558;TM02/009
2591;2661;TM02/010
2214;23;TM03/017
1260;1290;A 02/057
207;218;TL03/020
375;375;PS02/039Q
2145;2191;PS02/039R
785;786;TB10/015
2223;2238;C 04/005
3732;3833;D 01/003A
1989;2044;B 01/018
241;262;TL03/019
1378;1397;A 06/019
61;61;C 07/006
127;127;F 02/055
195;210;F 02/056
656;656;F 02/006
138;158;F 02/007
936;952;F 02/078
1046;1054;C 04/011
380;396;C 07/022
212;212;C 05/031
40;45;TF02/011
24;24;TF03/007
242;267;F 02/005
247;265;C 06/006
2360;2389;A 04/001
99;99;A 05/002
1050;1111;A 02/065
1652;1655;TB10/038
153;153;C 03/031
217;239;E 04/049
462;543;C 07/032
99;99;C 04/024
2875;2875;C 04/010
841;856;F 01/007
2608;2639;C 02/021
226;236;C 06/005
950;968;C 04/022
254;254;C 06/030
1474;1494;TB03/046
863;945;E 04/065
123;136;F 03/026
497;545;C 07/010
3189;3204;C 04/026
150;195;TL02/051
1275;1291;TL02/039
206;206;TL02/041
518;530;TL02/042
742;769;TL02/056
388;389;TJ09/027
24;24;TL03/007
112;112;TJ01/043A
79;79;TL03/012
1269;1276;TL02/047
300;319;TL04/043
1693;1693;TL03/025
2449;2488;C 02/010
1867;1897;TL03/006
561;561;TL03/015
626;647;G /018
1529;1567;C 02/042
561;574;TL04/047
710;748;C 03/005
683;705;C 03/025
530;544;C 06/024
143;161;C 08/012
50;50;TB10/040
3050;3141;PS02/041
140;149;C 06/009
695;713;C 02/003
471;483;D 02/023
30;30;D 02/024
58;58;C 04/019
920;948;A 02/063
330;341;D 02/002
2679;2679;A 02/064
1350;1357;TL02/035
1289;1289;TL02/033
1183;1191;TL02/030
479;519;TL03/018
277;278;J /016
1015;1040;B 07/011
805;822;B 07/010
236;257;C 01/050
337;351;C 01/002
1115;1130;C 05/016
282;299;C 02/009
680;733;C 03/007
240;240;C 05/030
174;190;C 06/010
900;933;C 05/019
798;809;C 05/036
3096;3125;F 01/016
118;118;TL04/038
264;287;TL03/049
304;304;TL04/057
515;528;TJ09/008
493;535;TL03/048
1644;1662;TL04/054
2;2;TJ06/038
269;290;TL04/056
1799;1835;G /012
2344;2390;D 01/027
201;237;TL02/018
1142;1159;TJ06/029
298;323;TL02/055
76;81;TL02/054
165;175;TL02/053
706;724;TJ10/007
1033;1058;PS02/036
341;341;C 05/028
2569;2592;B 08/036
829;829;B 08/038
1170;1200;H 06/015
611;621;B 07/028
734;756;A 01/016A
1676;1715;A 05/018
2654;2694;A 06/023
1511;1597;A 05/012
1370;1400;D 04/017
953;953;A 02/061
297;297;G /016
156;215;B 01/021
415;430;B 08/009
1894;1963;TJ02/036
2036;2074;TJ06/009
2040;2040;C 05/009A
209;217;PS01/017
1413;1434;A 02/070
1656;1667;A 02/071
1895;1930;A 02/072
484;527;A 02/073
175;184;J /007
356;367;J /008
2296;2344;J /009
2534;2534;J /010
54;57;J /017
1298;1332;TJ06/036
812;840;TJ06/018A
1115;1144;TJ10/003
248;274;TJ11/005
754;818;TL03/022
115;130;TL03/027
281;297;TL02/057
1038;1067;C 05/010
1211;1229;PS02/037
1269;1307;PS01/047
2202;2224;C 04/025
497;505;C 06/008
615;632;C 05/009
812;838;TJ09/015
427;434;TJ04/017
1330;1334;TJ09/025
372;376;TJ04/018
950;978;B 01/032
2242;2298;A 01/017
1067;1067;C /008
1545;1579;F 01/018
398;408;F 01/017
743;757;F 01/015
1649;1649;F 02/016
1369;1385;F 01/014
1939;19;G 01/010
516;556;G 01/020
3129;3129;TJ01/005
1603;1635;TJ01/039
342;375;TJ06/035
513;513;TJ09/023
514;555;TJ06/032
